Name,CustomerNumber,Email
B Duncan,C2000,MEEHGGLY3@comcast.com
N Garnett,C2001,AATXMSBF3@comcast.com
K James,C2002,GHXCIXPN2@verizon.com
A Nash,C2003,CHDEAQWS2@verizon.com
A Jefferson,C2004,ZKCPVWFH3@comcast.com
E Camby,C2005,GOKUAVVN2@verizon.com
N Carter,C2006,GEHBWYBJ3@comcast.com
C Wade,C2007,CEFJIEMR2@verizon.com
P Marion,C2008,UIANFYVQ3@comcast.com
J Webber,C2009,YJMBEUXH1@gmail.com
D Okur,C2010,SBDYLCBF1@gmail.com
M Nowitzki,C2011,BFNOTXFB1@gmail.com
H Kidd,C2012,ULVFLMAL1@gmail.com
W Iverson,C2013,AEVMDDGO2@verizon.com
W Bryant,C2014,KLXQBDEJ2@verizon.com
O Walker,C2015,XUAJWLAI3@comcast.com
U Wallace,C2016,WEGYJWHX2@verizon.com
C Kirilenko,C2017,THCZXPAA2@verizon.com
X Brand,C2018,TNQFHHVI2@verizon.com
P Gasol,C2019,PEHWXBFS3@comcast.com
E Mobley,C2020,QPLYQHPC1@gmail.com
I Arenas,C2021,GGLDKGGS1@gmail.com
O Redd,C2022,EKSUUNXO2@verizon.com
N Bosh,C2023,JYGAQQLH2@verizon.com
I Gooden,C2024,TUZWHLPL2@verizon.com
E Iguodala,C2025,YZFSDTMF2@verizon.com
S Jones,C2026,ONSCKMAP2@verizon.com
M Odom,C2027,HYJCDILF3@comcast.com
O O'Neal,C2028,BIRRRWLW3@comcast.com
W Jaric,C2029,SVONDSGR2@verizon.com
Y Anthony,C2030,JVUJAOPQ3@comcast.com
P Jones,C2031,RLESUPPX1@gmail.com
S Cassell,C2032,BHEEFXYB2@verizon.com
O Parker,C2033,IDAIGUZK2@verizon.com
F Parker,C2034,IPXIPHUD2@verizon.com
G Knight,C2035,ARRUBQTX2@verizon.com
V Pierce,C2036,HHIKTSQH3@comcast.com
T Peterson,C2037,RLRZPOYJ3@comcast.com
R Duhon,C2038,IJZGMJYK2@verizon.com
T West,C2039,PRBXIMPS3@comcast.com
B Okafor,C2040,USBSUVYD2@verizon.com
N Jamison,C2041,OMTJRPLP2@verizon.com
S Diaw-Riffiod,C2042,HLFZRZPE1@gmail.com
I Hamilton,C2043,DFMSGQAK2@verizon.com
T Tinsley,C2044,EMZKQLCJ2@verizon.com
X Paul,C2045,NPSOENDW2@verizon.com
W Allen,C2046,EHOUCNBC2@verizon.com
T Ford,C2047,CLIIZBOH1@gmail.com
C Wallace,C2048,ITEMEPHM3@comcast.com
A Ilgauskas,C2049,ZMTWDDUQ2@verizon.com
T Williams,C2050,HBYYRBCE2@verizon.com
N Stojakovic,C2051,ZTCRYWMP3@comcast.com
T James,C2052,ZQWQUHLS3@comcast.com
V Davis,C2053,OZQTGBSA3@comcast.com
S Miller,C2054,HGVYPVIC2@verizon.com
V Simmons,C2055,UDJATOZJ2@verizon.com
U Francis,C2056,PPDGNAHJ3@comcast.com
D Wells,C2057,DTZNNNZV3@comcast.com
L Hunter,C2058,OSKOHXQY2@verizon.com
V Calderon,C2059,JLLNDOSZ3@comcast.com
D Miller,C2060,MEWENLVA2@verizon.com
C Marshall,C2061,WVUCRXLK2@verizon.com
H Johnson,C2062,CJUQKOOS1@gmail.com
U Richardson,C2063,UPJDCRTM2@verizon.com
H Blount,C2064,LXFECLPS3@comcast.com
N Claxton,C2065,GIJVARRH2@verizon.com
Y Abdur-Rahim,C2066,ZRSDAEZG1@gmail.com
O Bell,C2067,QSKMHBIB1@gmail.com
M Barbosa,C2068,SLOTDFRH3@comcast.com
I Horry,C2069,FMVXDYER1@gmail.com
G Haslem,C2070,EVEYAGUS2@verizon.com
N Croshere,C2071,SHMRBNWU1@gmail.com
Z Howard,C2072,XMONCJOP1@gmail.com
S Hughes,C2073,IZJMDUHV1@gmail.com
N LaFrentz,C2074,LPBNOPJI1@gmail.com
G Mourning,C2075,NDVVPCWW1@gmail.com
X Artest,C2076,CLEAQPFJ2@verizon.com
V Hinrich,C2077,PAPYNQSZ2@verizon.com
N Martin,C2078,OLHFPMIY3@comcast.com
S Haywood,C2079,BUJCFQTY2@verizon.com
Y Ming,C2080,CNZYUSXA1@gmail.com
J Prince,C2081,SAJXUCXM3@comcast.com
L Miles,C2082,EZKHANFA2@verizon.com
V Ginobili,C2083,HJTWOZNP1@gmail.com
Y Billups,C2084,VKDKTABG2@verizon.com
C Williams,C2085,EOXLXVOD1@gmail.com
T Krstic,C2086,DEOBTYLD2@verizon.com
C Brown,C2087,LCREVBWD1@gmail.com
Y Lewis,C2088,PTYDXEXP3@comcast.com
U Smith,C2089,KCDOLINC2@verizon.com
O Rose,C2090,XSLMAXCF3@comcast.com
M Payton,C2091,OIQFUYIC3@comcast.com
W West,C2092,XPIMXTAV1@gmail.com
R Childress,C2093,VSBZBIPY2@verizon.com
J Ostertag,C2094,QBJTZPXL2@verizon.com
Z Battier,C2095,PCLKILWH2@verizon.com
P Bogut,C2096,NXIMBKQI3@comcast.com
A Lenard,C2097,SEAMAHHD3@comcast.com
S Jones,C2098,VQXRDLSY3@comcast.com
L Przybilla,C2099,LENMZIKL1@gmail.com
T Terry,C2100,FQNQZGPE3@comcast.com
R Kaman,C2101,UZDEATPN1@gmail.com
H Sweetney,C2102,YUCOEARM3@comcast.com
J Griffin,C2103,THBSLWXR1@gmail.com
Z Fisher,C2104,MGTEVKWZ2@verizon.com
S Jackson,C2105,SLEAACNU1@gmail.com
Z Stoudamire,C2106,JXOKLNMW3@comcast.com
R Olowokandi,C2107,YLQUHHDY1@gmail.com
Z Gordon,C2108,XGDHVFII3@comcast.com
F House,C2109,HRXCQDYB1@gmail.com
F Wallace,C2110,QRMNOPSB2@verizon.com
C Evans,C2111,IHRPQMIZ2@verizon.com
G Brezec,C2112,IBAAVICG2@verizon.com
A Stevenson,C2113,VZWGQDWX3@comcast.com
Z Pachulia,C2114,OLZLUYAH1@gmail.com
T Magloire,C2115,CLWRBPHY3@comcast.com
D Smith,C2116,IOHQWDOF1@gmail.com
M Barry,C2117,DPVVBSFO1@gmail.com
M Davis,C2118,YMFPMKHD3@comcast.com
V Ridnour,C2119,WBVVYFJO1@gmail.com
S Ely,C2120,RTZYKGPJ1@gmail.com
Q Felton,C2121,CGEJNOYO2@verizon.com
K Thomas,C2122,QKWQZLRD3@comcast.com
